0,degrees,-0.1662337830992287,Nm
-1,degrees,21.94459779326506,Nm
-2,degrees,33.46892968127199,Nm
-3,degrees,39.84636360440407,Nm
-4,degrees,41.91509850615561,Nm
-5,degrees,44.05563562538917,Nm
-6,degrees,47.49296101728601,Nm
-7,degrees,47.87366348883222,Nm
-8,degrees,48.85865163883288,Nm
-9,degrees,46.34002825185114,Nm
-10,degrees,49.45645755743345,Nm
-11,degrees,49.61341625695154,Nm
-12,degrees,49.16446153288019,Nm
-13,degrees,50.59127611982957,Nm
-14,degrees,48.68654192767258,Nm
-15,degrees,48.78584339296635,Nm
-16,degrees,50.13739258227974,Nm
-17,degrees,50.12323497094778,Nm
-18,degrees,50.62107007921605,Nm
-19,degrees,48.18937603914965,Nm
-20,degrees,48.69518629936559,Nm
-21,degrees,48.96004916726578,Nm
-22,degrees,48.16262694319859,Nm
-23,degrees,48.32261882615226,Nm
-24,degrees,43.5122524222541,Nm
-25,degrees,45.30663146552405,Nm
-26,degrees,40.46488594860414,Nm
-27,degrees,36.36388560221806,Nm
-28,degrees,29.73756512939233,Nm
-29,degrees,19.21326624815915,Nm
-30,degrees,0.1596050088543857,Nm
-31,degrees,-18.67781142271985,Nm
-32,degrees,-29.06109476292566,Nm
-33,degrees,-37.17467937819099,Nm
-34,degrees,-39.2418561588423,Nm
-35,degrees,-42.57561397278867,Nm
-36,degrees,-43.8366350585581,Nm
-37,degrees,-47.50051885891598,Nm
-38,degrees,-48.9693782410808,Nm
-39,degrees,-48.83843184006631,Nm
-40,degrees,-50.65407517286718,Nm
-41,degrees,-48.01597662097682,Nm
-42,degrees,-50.11545296617254,Nm
-43,degrees,-51.00516188434808,Nm
-44,degrees,-49.87677419274804,Nm
-45,degrees,-50.1810003594991,Nm
-46,degrees,-48.67900164106236,Nm
-47,degrees,-50.96092781244697,Nm
-48,degrees,-50.11434707763131,Nm
-49,degrees,-51.21660416944665,Nm
-50,degrees,-49.62487914673383,Nm
-51,degrees,-47.46202075555523,Nm
-52,degrees,-48.81807891329363,Nm
-53,degrees,-47.80442783798686,Nm
-54,degrees,-46.76947930048571,Nm
-55,degrees,-43.54559499353249,Nm
-56,degrees,-42.17499665944817,Nm
-57,degrees,-39.97143017372598,Nm
-58,degrees,-33.2710100092774,Nm
-59,degrees,-22.02659905641492,Nm
-60,degrees,0.06842253383128606,Nm
